"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"TPS70618DRVR","Texas Instruments","296-48768-1-ND","ORESAT-CAMERA-V4","U2","Cut Tape (CT)","Active","1","0.78000","$0.78","933","6 Weeks","IC REG LINEAR 1.8V 150MA 6SON","ROHS3 Compliant","Lead free","REACH Unaffected"
"GCM155L81E104KE02D","Murata Electronics","490-18203-1-ND","ORESAT-CAMERA-V4","C3, C5, C9, C13, C17","Cut Tape (CT)","Active","5","0.12000","$0.60","18250","Not Available","CAP CERAMIC MULTILAYER 0.1UF 25V","ROHS3 Compliant","Not Available","Not Available"
"GCM188R71E105KA64D","Murata Electronics","490-10673-1-ND","ORESAT-CAMERA-V4","C6, C10, C14","Cut Tape (CT)","Active","3","0.29000","$0.87","328706","15 Weeks","CAP CER 1UF 25V X7R 0603","ROHS3 Compliant","Lead free","Not Available"
"GRT188C81C106ME13D","Murata Electronics","490-12286-1-ND","ORESAT-CAMERA-V4","C2, C4, C8, C12, C16","Cut Tape (CT)","Active","5","0.44000","$2.20","119427","15 Weeks","CAP CER 10UF 16V X6S 0603","ROHS3 Compliant","Lead free","Not Available"
"GRT188C8YA225ME13D","Murata Electronics","490-12300-1-ND","ORESAT-CAMERA-V4","C7, C11, C15, C18, C19","Cut Tape (CT)","Active","5","0.29000","$1.45","322","15 Weeks","CAP CER 2.2UF 35V X6S 0603","ROHS3 Compliant","Lead free","Not Available"
"KC2520B27.0000C10E00","Kyocera International Inc. Electronic Components","478-4781-1-ND","ORESAT-CAMERA-V4","X1","Cut Tape (CT)","Active","1","1.41000","$1.41","17539","22 Weeks","XTAL OSC XO 27.0000MHZ CMOS SMD","ROHS3 Compliant","Lead free","REACH Unaffected"
"ERJ-2RKF1000X","Panasonic Electronic Components","P100LCT-ND","ORESAT-CAMERA-V4","R2","Cut Tape (CT)","Active","1","0.10000","$0.10","2582793","11 Weeks","RES SMD 100 OHM 1% 1/10W 0402","ROHS3 Compliant","Lead free","REACH Unaffected"
"ERJ-2RKF1002X","Panasonic Electronic Components","P10.0KLCT-ND","ORESAT-CAMERA-V4","R1, R4, R5","Cut Tape (CT)","Active","3","0.10000","$0.30","4233498","11 Weeks","RES SMD 10K OHM 1% 1/10W 0402","ROHS3 Compliant","Lead free","REACH Unaffected"
"ERJ-2RKF4701X","Panasonic Electronic Components","P4.70KLCT-ND","ORESAT-CAMERA-V4","R7, R8","Cut Tape (CT)","Active","2","0.10000","$0.20","5104660","11 Weeks","RES SMD 4.7K OHM 1% 1/10W 0402","ROHS3 Compliant","Lead free","REACH Unaffected"
"3-1734742-6","TE Connectivity AMP Connectors","A100241CT-ND","ORESAT-CAMERA-V4","J1","Cut Tape (CT)","Active","1","2.89000","$2.89","165","11 Weeks","CONN FFC VERT 36POS 0.50MM SMD","RoHS Compliant","Lead free","Not Available"
"GCM155R71H103JA55D","Murata Electronics","490-14352-1-ND","ORESAT-CAMERA-V4","C1","Cut Tape (CT)","Active","1","0.10000","$0.10","11805","15 Weeks","CAP CER 10000PF 50V X7R 0402","ROHS3 Compliant","Lead free","Not Available"
"TPS71928-28DRVR","Texas Instruments","296-21660-1-ND","ORESAT-CAMERA-V4","U3, U4","Cut Tape (CT)","Active","2","1.72000","$3.44","2834","6 Weeks","IC REG LINEAR 2.8V 200MA 6SON","ROHS3 Compliant","Lead free","REACH Unaffected"
