"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"ECS-240-12-30BQ-AEN-TR","ECS Inc.","XC2580CT-ND","OCTAVO-CARD-V0","Y1","Cut Tape (CT)","Active","1","0.86000","$0.86","2417","10 Weeks","CRYSTAL 24MHZ 12PF SMD","ROHS3 Compliant","Lead free","Not Available"
"ABS07-32.768KHZ-T","Abracon LLC","535-9542-1-ND","OCTAVO-CARD-V0","Y3","Cut Tape (CT)","Active","1","0.71000","$0.71","67338","23 Weeks","CRYSTAL 32.7680KHZ 12.5PF SMD","RoHS Compliant","Lead free","REACH Unaffected"
"DM3BT-DSF-PEJS","Hirose Electric Co Ltd","HR1942CT-ND","OCTAVO-CARD-V0","J2","Cut Tape (CT)","Active","1","2.47000","$2.47","3912","8 Weeks","CONN MICRO SD CARD PUSH-PUSH R/A","RoHS Compliant","Lead free","Not Available"
"3-1734592-6","TE Connectivity AMP Connectors","A100291CT-ND","OCTAVO-CARD-V0","J4","Cut Tape (CT)","Active","1","1.58000","$1.58","13820","17 Weeks","CONN FPC BOTTOM 36POS 0.50MM R/A","RoHS Compliant","Lead free","Not Available"
"SN74LVC8T245MPWREP","Texas Instruments","296-24003-1-ND","OCTAVO-CARD-V0","U10","Cut Tape (CT)","Active","1","3.19000","$3.19","29202","12 Weeks","IC TRNSLTR BIDIRECTIONAL 24TSSOP","ROHS3 Compliant","Lead free","REACH Unaffected"
"TLV70028QDDCRQ1","Texas Instruments","296-40607-1-ND","OCTAVO-CARD-V0","U9","Cut Tape (CT)","Active","1","0.50000","$0.50","11","6 Weeks","IC REG LINEAR 2.8V 200MA SOT23-5","ROHS3 Compliant","Lead free","REACH Unaffected"
"CLVCH16T245MDGGREP","Texas Instruments","296-23948-1-ND","OCTAVO-CARD-V0","U5","Cut Tape (CT)","Active","1","5.95000","$5.95","1468","6 Weeks","IC TRNSLTR BIDIRECTIONAL 48TSSOP","ROHS3 Compliant","Lead free","REACH Unaffected"
"TLVH431BQDBZRQ1","Texas Instruments","296-36778-1-ND","OCTAVO-CARD-V0","U14","Cut Tape (CT)","Active","1","1.01000","$1.01","3082","6 Weeks","IC VREF SHUNT 18V 0.5% SOT23-3","ROHS3 Compliant","Lead free","REACH Unaffected"
"MMBT2907A-7-F","Diodes Incorporated","MMBT2907A-FDICT-ND","OCTAVO-CARD-V0","Q9","Cut Tape (CT)","Active","1","0.14000","$0.14","407532","15 Weeks","TRANS PNP 60V 0.6A SOT23-3","ROHS3 Compliant","Lead free","REACH Unaffected"
"SN74LVC1G07DCKR","Texas Instruments","296-8486-1-ND","OCTAVO-CARD-V0","U15","Cut Tape (CT)","Active","1","0.30000","$0.30","71143","6 Weeks","IC BUF NON-INVERT 5.5V SC70-5","ROHS3 Compliant","Lead free","REACH Unaffected"
