"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"2";"";"CONN_02PTH3";"1X02_LONGPADS";"J10, J11";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";
"1";"";"CONN_03LONGPADS";"1X03_LONGPADS";"J3";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";
"1";"";"CONN_04LONGPADS";"1X04_LONGPADS";"J9";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";
"3";"";"CONN_05";"1X05";"J5, J6, J7";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";
"1";"";"EMMC+RESET+5.1-COMPATIBLE-BA";"BGA-153(11.5X13)(EMMC-BA)";"U8";"eMMC (embedded multi-media card) memory with optional Reset function";"";
"2";"0";"R-US_0603-A";".0603-A";"R35, R36";"RESISTOR, American symbol";"";
"13";"0.1uF";"C-EU0603-A";".0603-A";"C3, C10, C11, C12, C13, C14, C15, C16, C17, C24, C27, C30, C32";"CAPACITOR, European symbol";"";
"1";"0.1uF, 6.3V";"C-EU0603-A";".0603-A";"C39";"CAPACITOR, European symbol";"";
"1";"10.0K";"R-US_0603-A";".0603-A";"R73";"RESISTOR, American symbol";"";
"3";"100";"R-US_0603-A";".0603-A";"R1, R6, R7";"RESISTOR, American symbol";"";
"3";"100K";"EXB-A10P391JC_ARRAY_EXBA-M";"ARRAY_EXBA-M";"R58, R59, R60";"";"";
"1";"100m";"R-US_R1206";"R1206";"R32";"RESISTOR, American symbol";"";
"3";"10K";"EXB-A10P391JC_ARRAY_EXBA-M";"ARRAY_EXBA-M";"R42, R48, R53";"";"";
"19";"10k";"R-US_0603-A";".0603-A";"R13, R18, R25, R27, R28, R34, R39, R40, R45, R46, R47, R56, R57, R61, R63, R64, R67, R68, R69";"RESISTOR, American symbol";"";
"4";"10uF";"C-EU0603-A";".0603-A";"C9, C23, C35, C36";"CAPACITOR, European symbol";"";
"1";"10uF";"C-EU0805-B-NOSILK";".0805-B-NOSILK";"C4";"CAPACITOR, European symbol";"";
"4";"18pF, 50V";"C-EU0603-A";".0603-A";"C28, C29, C44, C45";"CAPACITOR, European symbol";"";
"1";"1M, 1%";"R-US_0603-A";".0603-A";"R62";"RESISTOR, American symbol";"";
"1";"1M, DNI";"R-US_0603-A";".0603-A";"R75";"RESISTOR, American symbol";"";
"5";"1k";"R-US_0603-A";".0603-A";"R49, R50, R51, R52, R70";"RESISTOR, American symbol";"";
"8";"1uF";"C-EU0603-A";".0603-A";"C5, C6, C19, C20, C21, C22, C25, C26";"CAPACITOR, European symbol";"";
"1";"2-1734592-0";"2-1734592-0";"TE_2-1734592-0";"J8";"";"";
"1";"2.2uF";"C-EU0603-A";".0603-A";"C18";"CAPACITOR, European symbol";"";
"3";"2.7k";"R-US_0603-A";".0603-A";"R26, R33, R41";"RESISTOR, American symbol";"";
"1";"22uF";"C-EU0805-B-NOSILK";".0805-B-NOSILK";"C8";"CAPACITOR, European symbol";"";
"4";"22uF";"C-EUC1210";"C1210";"C37, C38, C40, C41";"CAPACITOR, European symbol";"";
"1";"24MHz";"ECS-240-12-30BQ-AEN-TR";"5X3.2-4SMD";"Y1";"";"";
"1";"3-1734592-64-1734592-0";"3-1734592-64-1734592-0";"TE_3-1734592-6";"J4";"";"";
"2";"30Ω/1.8A";"FERRITE_BEAD-0603";"0603";"FB1, FB2";"Ferrite Bead (blocks, cores, rings, chokes, etc.)";"";
"4";"4.7k";"R-US_0603-A";".0603-A";"R43, R44, R54, R55";"RESISTOR, American symbol";"";
"1";"40.2K";"R-US_0603-A";".0603-A";"R72";"RESISTOR, American symbol";"";
"2";"47k";"R-US_0603-A";".0603-A";"R23, R24";"RESISTOR, American symbol";"";
"1";"499";"R-US_0603-A";".0603-A";"R71";"RESISTOR, American symbol";"";
"1";"6.8u";"L-ECS-MPI4040";"ECS-MPI4040";"L1";"";"";
"1";"ABS07-32.768KHZ-T";"ABS07-32.768KHZ-T";"CRYSTAL_3.2X1.5";"Y3";"32kHz crystal";"";
"1";"AMBER";"LED-GREEN0603";"LED-0603";"D1";"Green SMD LED";"";
"4";"BLUE";"LED-BLUE0603";"LED-0603";"D4, D5, D6, D7";"Blue SMD LED";"";
"1";"CLVCH16T245MDGGREP";"CLVCH16T245MDGGREP";"DGG48-M";"U5";"";"";
"1";"DM3BT-DSF-PEJS";"DM3BT-DSF-PEJS";"DM3BT-DSF-PEJS";"J2";"HIROSE - microSD Card socket - Reverse on-Board - Push / Push";"";
"1";"DMP2240UDM";"MOSFET-PCH-SOT23-6";"SOT23-6";"Q1";"Dual P channel MOSFETs in an SOT23-6";"";
"1";"FTSH-105-XX-X-DV-K";"FTSH-105-XX-X-DV-K";"CON10_2X5_DUK_FTSH";"CM1";"";"";
"3";"GREEN";"LED-GREEN0603";"LED-0603";"D2, D3, D8";"Green SMD LED";"";
"1";"J-SAMTEC-TFM-120-X1-XXX-D-RA";"J-SAMTEC-TFM-120-X1-XXX-D-RA";"J-SAMTEC-TFM-120-X1-XXX-D-RA";"J1";"";"";
"2";"JUMPER-SMT_2_NC_TRACE_SILK";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"JP5, JP6";"Normally closed trace jumper";"";
"5";"JUMPER-SMT_3_1-NC_TRACE_SILK";"JUMPER-SMT_3_1-NC_TRACE_SILK";"SMT-JUMPER_3_1-NC_TRACE_SILK";"JP1, JP2, JP3, JP4, JP7";"Normally closed trace jumper (1 of 2 connections)";"";
"1";"MAX4211CETE";"MAX4211";"QFN65P400X400X80-17T210";"U3";"";"";
"1";"MAX7310ATE";"MAX7310";"QFN65P400X400X80-17T210";"U1";"";"";
"2";"MIC842";"MIC842";"SC70-5";"Q3, Q4";"";"";
"1";"MMBT2907";"MMBT2907SMD";"SOT23-BEC";"Q9";"PNP Transistror";"";
"2";"MOSFET-PCH-SOT23-6";"MOSFET-PCH-SOT23-6";"SOT23-6";"Q6, Q7";"P channel MOSFET in an SOT23-6";"";
"1";"NP";"C-EU0603-A";".0603-A";"C7";"CAPACITOR, European symbol";"";
"2";"NP";"C-EU0805-B-NOSILK";".0805-B-NOSILK";"C1, C2";"CAPACITOR, European symbol";"";
"17";"NP";"R-US_0603-A";".0603-A";"R2, R3, R4, R5, R8, R9, R10, R11, R14, R15, R16, R17, R29, R30, R31, R37, R38";"RESISTOR, American symbol";"";
"1";"OSD3358-512M-BSM";"OSD3358-512M-BSM";"OSD335X-BGA-256";"U6";"Octavo Systems LLC OSD335x Family SiP:  21mm x 21mm, 1.27mm pitch 256 pin BGA contains AM3358, 512MB DDR3, TPS65217, TL5209, 4KB EEPROM and passives.  Commerical Temperature (case):  0C to 85C.";"";
"2";"PMV45EN";"PMV45EN";"SOT23";"Q5, Q8";"";"";
"2";"RCLAMP0504FB";"RCLAMP0504FB";"SC70-6";"U11, U12";"";"";
"1";"SN74LVC1G07DCK";"SN74LVC1G07DCK";"C70(TI-DCK)";"U15";"";"";
"1";"SN74LVC8T245MPWREPPW24-M";"SN74LVC8T245MPWREPPW24-M";"PW24-M";"U10";"";"";
"4";"TBD";"R-US_0603-A";".0603-A";"R19, R20, R21, R22";"RESISTOR, American symbol";"";
"1";"TCA9509DGKRDGK8-M";"TCA9509DGKRDGK8-M";"DGK8-M";"U7";"";"";
"1";"TCAN330";"TCAN330";"SOT23-8_TI-DCN";"U4";"";"";
"21";"TEST-POINT";"TEST-POINT";"2MM-TEST-POINT";"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP20, TP150";"";"";
"126";"TEST-POINT3X4";"TEST-POINT3X4";"PAD.03X.04";"TP21, TP22, TP23, TP24, TP25, TP26, TP27, TP28, TP29, TP30, TP31, TP32, TP33, TP34, TP35, TP36, TP37, TP38, TP39, TP40, TP41, TP42, TP43, TP44, TP45, TP46, TP47, TP48, TP49, TP50, TP51, TP52, TP53, TP54, TP55, TP56, TP57, TP58, TP59, TP60, TP61, TP62, TP63, TP64, TP65, TP66, TP67, TP68, TP69, TP70, TP71, TP72, TP73, TP74, TP75, TP76, TP77, TP78, TP79, TP80, TP81, TP82, TP83, TP84, TP85, TP86, TP87, TP88, TP89, TP90, TP91, TP92, TP93, TP94, TP95, TP96, TP99, TP102, TP103, TP104, TP105, TP106, TP107, TP108, TP109, TP110, TP111, TP112, TP113, TP114, TP115, TP117, TP118, TP119, TP120, TP121, TP122, TP123, TP124, TP125, TP126, TP127, TP128, TP129, TP130, TP131, TP132, TP133, TP134, TP135, TP136, TP137, TP138, TP139, TP140, TP141, TP142, TP143, TP144, TP145, TP146, TP147, TP148, TP149, TP151, TP152";"SparkFun Test Points";"";
"1";"TLV70028QDDCRQ1";"TLV70028QDDCRQ1";"SOT23-5";"U9";"";"";
"1";"TLVH431";"TLVH431";"SOT23-3";"U14";"";"";
"1";"TPS2051CDBVR";"TPS2051CDBVR";"DBV5";"U13";"";"";
"1";"TPS62112";"TPS6211X";"S-PVQFN-16";"U2";"TPS6211x 17-V, 1.5-A, Synchronous Step-Down Converter";"";
